title,summary
Service Experience Designer,Service Experience Designer*. As a Service Experience Designer You Will*. Neighborhood Trust seeks a Service Experience Designer to join our Programs & Business...
User Experience Designer - Data Distribution and Governance,"
This position is for a thoughtful UX Designer with a passion for making complex data and workflow problems simpler...."
UX Designer,"
Collaborate with an Interaction Designer to create wires, prototypes, and other UX artifacts as needed to effectively communicate design ideas...."
Associate Product Designer,"
Associate Product Designer. ABOUT THE ASSOCIATE PRODUCT DESIGNER ROLE AND OUR TEAM:. Demonstrated experience working as a UX/UI designer on a software product...."
Product Designer,"
Solid UX, UI, and visual chops backed up by a top notch portfolio. Now, we’re looking for a passionate product designer to help us take it to the next level...."
UX/UI Designer,"
Mighty is looking for a UI/UX Designer to be the driving force in creating intuitive and elegant solutions for our customers...."
User Experience (UX) Designer,"
As a Vice President, Experience Designer at Citi, you will combine your passions for digital innovation, conceptual thinking, pixel-perfect design, and flawless..."
User Experience Designer H/F,"
Intégré(e) au sein de l’équipe UX (4 p.). Et après avoir été formé(e) sur les outils Witbe, vous serez chargé(e) de travailler sur l’expérience utilisateur..."
UI/UX Designer,"
A s the UX Designer, you will be the connective tissue between brand, visual product design, research, UX, development and all internal and external partners..."
UX Designer,"
Tigerspike NY is looking for a UX Designer who is excited to work alongside a talented group of innovators creating digital products...."
"Product Designer, Entertainment","
2-3 years of experience as a user experience designer, interaction designer, or similar UX-related role with accompanying experience in visual/graphic design...."
User Experience Designer,"As a UX Designer on the UncommonGoods Product team, you’ll be working on product design and feature initiatives that address both customer needs and business..."
Mobile UI Designer,"We are looking for a hard-working, resourceful, detail-oriented Mobile Graphic Designer (or Mobile UI/UX Designer) to work with our team on-site in NYC...."
UX/Digital Designer,"
The Digital Designer will work closely with the teams Creative Director towards the design and execution of all creative marketing solutions...."
UX/UI Desiger,"
Barnes & Noble is looking for a talented full-time UX/UI Designer to work with our self-publishing platform...."
UI/UX designer,"
Keep the interface beautiful and easy to use. Direct the visual appearance of all new features and enhancements on our software applicationInitiate, suggest,"
Visual Interaction Designer,"
As a Visual Interaction Designer you will work within UX Development Team and will play one of the key roles in creating new version of Turbonomic's product...."
User Experience Designer,"
Documenting new or updated UX standards and persona data across our clients site and their suite of products...."
UI/UX Designer,"
Seeking a professional UI/UX Designer with a stellar track record. Work will be primarily for website, iOS, and Android pages that will be adding Responsive..."
Product Designer,"
We’re looking for generalist UX designer with experience across the spectrum, to take a project from concept to release...."
UX Designer,"
We're looking for a talented UI/UX Designer for a full time position on the digital experience team at Barnes and Noble...."
Lead UX Designer,"
Tech, Product, and UX. Inspire UX designers by providing feedback and support for various projects. Lead, deﬁne, and communicate the UX direction using..."
User Experience Designer,"
5-7 years UX experience. Work on evolving the seasonal front-end improvements to homepages, landing and other pages for michaelkors.com and other platforms we..."
Service Experience Designer,Service Experience Designer*. As a Service Experience Designer You Will*. Neighborhood Trust seeks a Service Experience Designer to join our Programs & Business...
UX Designer / Buy-Side Research / Analytics / Financial Technology,"UX Designer / Buy-Side Research / Analytics / Financial Technology. 3+ years of experience as a visual designer, user experience designer, interaction designer,..."
Senior Product Designer,"
Fluency in UX with an ability to execute visual designs with a styleguide in place. We are looking for a talented and passionate Senior Product Designer to be a..."
UX/UI Designer - Financial Services,"
Illustrating the UX of proposed feature and system concepts. A Contract UX/UI Designer position at a preeminent global financial services firm...."
User Experience (UX) Designer,"
The UX Designer will report to the Director of Engineering, and will play a crucial role in ensuring that our products are easy to learn, use, and manage...."
UX/UI Designer,"
A Momentum Resource Solutions client located in Downtown, Manhattan has an immediate need for a UX/UI Designer. This is a long term contract opportunity ...."
